"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"H6652","1","AMERICAN HEALTH PLAN OF FL, INC.","American Health Advantage of Florida","Mitchell Family Office"
"H6700","2","PACE NORTHEAST MICHIGAN","PACE Northeast Michigan","PACE Northeast Michigan"
"H6706","1","UnitedHealthcare Benefits of Texas, Inc.","UnitedHealthcare","UnitedHealth Group, Inc."
"H6723","7","MEDICAL MUTUAL OF OHIO","Medical Mutual of Ohio","MEDICAL MUTUAL OF OHIO"
"H6743","13","ATRIO HEALTH PLANS","ATRIO Health Plans","ATRIO Health Plans"
"H6759","2","Senior CommUnity Care Of Kentucky","Senior CommUnity Care of Kentucky","Volunteers of America National Services"
"H6765","2","AMERICAN HEALTH PLAN OF IOWA INC","Iowa Health Advantage","Mitchell Family Office"
"H6776","2","ELDERSERVE HEALTH, INC.","ElderServe Health","CareSource"
"H6787","2","VOANS SENIOR COMMUNITY CARE OF MICHIGAN, INC.","Senior Community Care of Michigan","Volunteers of America National Services"
"H6796","2","CLINICAS DE SALUD DEL PUEBLO, INC.","PACE by Innercare","Clinicas de Salud del Pueblo, Inc."
"H6813","2","DEVOTED HEALTH INSURANCE COMPANY OF TEXAS","Devoted Health","Devoted Health, Inc."
"H6815","3","HEALTH NET HEALTH PLAN OF OREGON, INC.","Wellcare","Centene Corporation"
"H6824","2","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealth Group, Inc."
"H6832","2","ALIGN SENIOR CARE MI, LLC","Align Senior Care","Curana Health Holdings, LLC"
"H6846","2","CAREPARTNERS REHABILITATION HOSPITAL, LLLP","CarePartners PACE","HCA Healthcare, Inc."
"H6847","4","Mass General Brigham Health Plan, Inc.","Mass General Brigham Health Plan","Mass General Brigham Incorporated"
"H6851","3","BOSTON MEDICAL CENTER HEALTH PLAN, INC.","WellSense Health Plan","BMC Health System, Inc."
"H6852","20","DEVOTED HEALTH PLAN OF PENNSYLVANIA INC","Devoted Health","Devoted Health, Inc."
"H6868","2","BOLDAGE PACE KENTUCKY, LLC","BoldAge PACE","BoldAge PACE, LLC"
"H6874","2","ASPIRUS HEALTH PLAN, INC.","Aspirus Health Plan","Aspirus, Inc."
"H6876","6","ZING HEALTH OF MICHIGAN, INC.","Zing Health","Zing Health Consolidator, Inc"
"H6887","2","INSPIRA HEALTH NETWORK LIFE, INC.","Inspira Health Network LIFE","Inspira Health Network, Inc."
"H6891","1","AMERICAN HEALTH PLAN OF TX, INC.","American Health Advantage of Texas","Mitchell Family Office"
"H6898","5","VERMONT BLUE ADVANTAGE, INC.","Vermont Blue Advantage","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"H6910","5","MOUNT CARMEL HEALTH PLAN OF IDAHO, INC.","Saint Alphonsus Health Plan","Trinity Health Corporation"
"H6941","2","LIFE PACE","LIFE PACE, INC.","LIFE Senior Services, Inc."
"H6959","2","ISNP VENTURES, LLC","KeyCare Advantage","ISNP Holdings, LLC"
"H6971","1","MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Wellcare","Centene Corporation"
"H6988","6","Anthem HP, LLC","Anthem Blue Cross and Blue Shield HP","Elevance Health, Inc."
"H6994","10","DEVOTED HEALTH PLAN OF VIRGINIA INC","Devoted Health","Devoted Health, Inc."
"H7003","2","PACE NEBRASKA","Immanuel Pathways Omaha","Immanuel"
"H7006","4","ATRIO HEALTH PLANS","ATRIO Health Plans","ATRIO Health Plans"
"H7020","4","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","HealthSpring","Health Care Service Corporation"
"H7027","2","ESPERANZA HEALTH CENTERS","Panorama PACE","Esperanza Health Centers"
"H7028","6","DEVOTED HEALTH INSURANCE COMPANY OF SOUTH CAROLINA INC","Devoted Health","Devoted Health, Inc."
"H7059","2","STRATUM LIFE, LLC","Stratum LIFE","Empath Health, Inc."
"H7063","7","BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC.","Blue Cross and Blue Shield of Kansas","Blue Cross Blue Shield of Kansas"
"H7074","5","ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC"
"H7093","2","COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H7114","2","VALIR PACE","Valir PACE","Valir PACE, LLC."
"H7115","6","MEMORIAL HERMANN HEALTH PLAN","Memorial Hermann Health Plan","Memorial Hermann Health System"
"H7123","1","UPMC HEALTH COVERAGE, INC.","UPMC for Life Complete Care","UPMC Health System"
"H7147","9","DEVOTED HEALTH PLAN OF COLORADO INC","Devoted Health","Devoted Health, Inc."
"H7149","4","AETNA HEALTH INC. (PA)","Aetna Medicare","CVS Health Corporation"
"H7151","4","DEVOTED HEALTH PLAN OF ILLINOIS, INC.","Devoted Health","Devoted Health, Inc."
"H7195","2","NORTHLAND PACE PROGRAM","Northland PACE Senior Care Services","Northland Healthcare Alliance"
"H7199","1","DEVOTED HEALTH  PLAN OF OREGON","Devoted Health","Devoted Health, Inc."
"H7220","3","HealthKeepers, Inc.","Anthem HealthKeepers","Elevance Health, Inc."
"H7233","2","VOANS SENIOR COMMUNITY CARE OF MARYLAND","Senior CommUnity Care of Maryland","Volunteers of America National Services"
"H7239","5","PROMINENCE HEALTHFIRST OF FLORIDA INC","Prominence Health Plan","Universal Health Services, Inc."
"H7262","2","TRU COMMUNITY CARE","TRU PACE","TRU Community Care"
"H7275","1","PROVIDER PARTNERS HEALTH PLAN OF KENTUCKY","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC"
"H7284","4","HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.","Humana","Humana Inc."
"H7296","2","HOSPICE OF METRO DENVER, INC","Colorado PACE","Hospice of Metro Denver, Inc"
"H7301","12","COVENTRY HEALTH CARE OF ILLINOIS, INC.","Aetna Medicare","CVS Health Corporation"
"H7323","2","WELLCARE NATIONAL HEALTH INSURANCE COMPANY","Wellcare","Centene Corporation"
"H7326","2","WELLCARE OF SOUTH CAROLINA, INC.","Wellcare","Centene Corporation"
"H7355","8","DEVOTED HEALTH INSURANCE COMPANY OF MISSISSIPPI","Devoted Health","Devoted Health, Inc."
"H7366","2","CONCERTOHEALTH PACE OF LOS ANGELES, LLC","InnovAge California PACE - Crenshaw","Total Community Options, Inc."
"H7379","7","CAREFIRST ADVANTAGE PPO, INC.","CareFirst BlueCross BlueShield Medicare Advantage","CareFirst, Inc."
"H7389","1","HealthSpring Life & Health Insurance Company, Inc.","HealthSpring","Health Care Service Corporation"
"H7397","8","DEVOTED HEALTH INSURANCE COMPANY OF ARKANSAS INC","Devoted Health","Devoted Health, Inc."
"H7435","1","MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Wellcare","Centene Corporation"
"H7464","3","UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H7469","2","PACE PARTNERS OF NORTHEAST FLORIDA, INC.","PACE Partners of Northeast Florida","Community Hospice of Northeast Florida, Inc."
"H7471","15","DEVOTED HEALTH INSURANCE COMPANY OF INDIANA","Devoted Health","Devoted Health, Inc."
"H7501","2","ORANGE COUNTY HEALTH AUTHORITY","CalOptima Health PACE","Orange County Health Authority"
"H7511","2","GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC.","Great Plains Medicare Advantage","Sanford Health"
"H7512","1","CENTENE VENTURE COMPANY MICHIGAN","Ascension Complete","Centene Corporation"
"H7518","3","WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC","Wellcare","Centene Corporation"
"H7522","14","MMM HEALTHCARE, LLC","Medicare y Mucho Mas (MMM)","Elevance Health, Inc."
"H7524","4","EXCELLUS HEALTH PLAN COMMUNITY CARE LLC","Excellus Health Plan Community Care LLC","Lifetime Healthcare, Inc."
"H7557","1","LONGEVITY HEALTH PLAN OF MICHIGAN, INC.","Longevity Health Plan","Longevity Health Founders, LLC"
"H7598","2","GROUP HEALTH COOPERATIVE OF EAU CLAIRE","Group Health Cooperative of Eau Claire","Group Health Cooperative of Eau Claire"
"H7605","9","DEVOTED HEALTH PLAN OF TENNESSEE INC","Devoted Health","Devoted Health, Inc."
"H7607","4","CLEVER CARE OF GOLDEN STATE, INC.","Clever Care Health Plan","Clever Care Health Plan, Inc."
"H7617","115","EMPHESYS INSURANCE COMPANY","Humana","Humana Inc."
"H7619","2","ATLANTICARE HEALTH SERVICES, INC.","AtlantiCare LIFE Connection","AtlantiCare Health Services, Inc."
"H7620","1","SANTA BARBARA SAN LUIS OBISPO REGIONAL HEALTH AUTHORITY DBA CENCAL HEALTH","CenCal CareConnect","SANTA BARBARA SAN LUIS OBISPO REGIONAL HEALTH AUTH"
"H7635","1","NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND","Neighborhood Health Plan of Rhode Island","NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND"
"H7656","2","VALLEY PACE, LLC","BoldAge PACE","Valley PACE, LLC"
"H7660","2","VIECARE BEAVER, LLC","LIFE Beaver and Lawrence Counties","Lutheran SeniorLife"
"H7670","2","CENTRAL MASS HEALTH, LLC","Mass Advantage","Central Mass Health Holding LLC"
"H7678","1","MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc."
"H7680","14","PROMINENCE HEALTHFIRST OF TEXAS","Prominence Health Plan","Universal Health Services, Inc."
"H7710","2","HIGHMARK BCBSD, INC.","Highmark Blue Cross Blue Shield","Highmark Health"
"H7725","2","VOANS SENIOR COMMUNITY CARE OF JEFFERSON COUNTY","Senior CommUnity Care of Jefferson County","Volunteers of America National Services"
"H7766","9","DEVOTED HEALTH INSURANCE COMPANY OF LOUISIANA","Devoted Health","Devoted Health, Inc."
"H7777","2","TRIHEALTH G, LLC","PACE of Cincinnati","TriHealth, Inc."
"H7779","1","AMERICAN HEALTH PLAN, INC.","American Health Advantage of Tennessee","Mitchell Family Office"
"H7787","28","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","HealthSpring","Health Care Service Corporation"
"H7831","2","PRIME ACQUISITIONS, LLC","EverTrue PACE","Midwest Christian Villages, Inc."
"H7849","32","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","HealthSpring","Health Care Service Corporation"
"H7855","2","BRANDMAN CENTERS FOR SENIOR CARE, INC.","Brandman Centers for Senior Care","Los Angeles Jewish Home for the Aging"
"H7917","21","BLUECROSS BLUESHIELD OF TENNESSEE, INC.","BlueCross BlueShield of Tennessee","BlueCross BlueShield of Tennessee"
"H7980","1","BOSTON MEDICAL CENTER HEALTH PLAN, INC.","WellSense Health Plan","BMC Health System, Inc."
"H7993","32","DEVOTED HEALTH PLAN OF TEXAS, INC.","Devoted Health","Devoted Health, Inc."
"H8003","11","BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA","Blue Cross Blue Shield of South Carolina","BlueCross BlueShield of South Carolina (BCBSSC)"
"H8010","2","CLOVER HMO OF NEW JERSEY INC.","Clover Health","Clover Health Holdings, Inc."
"H8048","2","KINSHIP PACE OF INDIANA, LLC","Kinship PACE of Indiana, LLC","CitiPACE Holding Company, LLC"
"H8051","1","SAN FRANCISCO HEALTH AUTHORITY DBA SAN FRANCISCO HEALTH PLAN","San Francisco Health Plan","SAN FRANCISCO HEALTH AUTHORITY"
"H8067","3","PROVIDER PARTNERS HEALTH PLAN, INC.","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC"
"H8082","2","STOCKTON PACE","WelbeHealth","WelbeHealth LLC."
"H8093","2","GEORGIA ASSURANCE, INC.","Georgia Health Advantage","Mitchell Family Office"
"H8095","4","WELLMARK ADVANTAGE HEALTH PLAN, INC.","Wellmark Advantage Health Plan","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"H8096","2","CENTRA HEALTH, INC.","Centra PACE","Centra Health, Inc."
"H8099","2","VOANS SENIOR COMMUNITY CARE OF NORTHERN KENTUCKY","Senior CommUnity Care of Northern Kentucky","Volunteers of America National Services"
"H8121","1","CENTENE VENTURE COMPANY TENNESSEE","Ascension Complete","Centene Corporation"
"H8133","2","GHS INSURANCE COMPANY","Blue Cross and Blue Shield of Texas","Health Care Service Corporation"
"H8142","14","SCOTT AND WHITE HEALTH PLAN","Baylor Scott & White Health Plan","Baylor Scott & White Health"
"H8145","11","HUMANA INSURANCE COMPANY","Humana","Humana Inc."
"H8166","8","HIGHMARK BCBSD INC.","Highmark Blue Cross Blue Shield","Highmark Health"
"H8171","2","BEACON PACE ILLINOIS, LLC","BoldAge PACE","BoldAge PACE, LLC"
"H8173","15","DEVOTED HEALTH PLAN OF ARIZONA, INC.","Devoted Health","Devoted Health, Inc."
"H8176","1","MOLINA HEALTHCARE OF SOUTH CAROLINA,INC","Molina Healthcare of South Carolina","Molina Healthcare, Inc."
"H8181","7","SAPPHIRE EDGE, INC.","Blue Cross and Blue Shield of Nebraska","Blue Cross Blue Shield of Nebraska"
"H8189","3","MANAGED HEALTH SERVICES INSURANCE CORP.","Wellcare","Centene Corporation"
"H8211","8","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"H8212","1","AMERIHEALTH CARITAS NORTH CAROLINA, INC.","AmeriHealth Caritas VIP Care","Independence Health Group, Inc."
"H8261","2","PACIFICSOURCE PACE, LLC","PacificSource PACE","PacificSource"
"H8298","1","HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Blue Cross Blue Shield of New Jersey","Horizon Mutual Holdings, Inc"
"H8320","10","Devoted of Illinois, Inc.","Devoted Health","Devoted Health, Inc."
"H8330","2","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Point32Health, Inc."
"H8332","2","AETNA HEALTH INC. (TX)","Aetna Medicare","CVS Health Corporation"
"H8379","2","PRIORITY HEALTH CHOICE, INC.","Priority Health Medicare","Corewell Health"
"H8385","4","SANFORD HEALTH PLAN","Align powered by Sanford Health Plan","Sanford Health"
"H8390","2","CARESOURCE GEORGIA CO.","CareSource","CareSource"
"H8421","2","ACUTECARE PACE FRANKLIN, LLC","BoldAge PACE","BoldAge PACE, LLC"
"H8424","2","SIOUXLAND PACE, INC.","UnityPoint Health PACE Senior Care","Iowa Health System"
"H8432","14","ANTHEM HP, LLC.","Anthem Blue Cross and Blue Shield HP","Elevance Health, Inc."
"H8457","1","LONGEVITY HEALTH PLAN OF NEW YORK, INC.","Longevity Health Plan","Longevity Health Founders, LLC"
"H8481","1","HAWAII MEDICAL SERVICE ASSOCIATION (HMSA)","HMSA Akamai Advantage Dual Care","Hawaii Medical Service Association"
"H8492","1","DIGNITY CARE CORPORATION","American Health Advantage of Louisiana","Mitchell Family Office"
"H8547","1","ILLINOIS BLUE CROSS BLUE SHIELD INSURANCE COMPANY","Blue Cross and Blue Shield of Illinois","Health Care Service Corporation"
"H8552","1","ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY","Anthem Blue Cross Life and Health Insurance Company","Elevance Health, Inc."
"H8554","2","GHS INSURANCE COMPANY","Blue Cross and Blue Shield of OK, TX","Health Care Service Corporation"
"H8573","2","BEACON OF LIFE NORTH NJ, LLC","Beacon of Life North NJ, LLC","BoldAge PACE, LLC"
"H8578","8","HEALTH NEW ENGLAND, INC.","Health New England Medicare Advantage Plans","Baystate Health, Inc."
"H8597","3","AETNA BETTER HEALTH OF TEXAS INC.","Aetna Medicare","CVS Health Corporation"
"H8604","4","THP INSURANCE COMPANY","The Health Plan","The Health Plan of West Virginia, Inc."
"H8614","2","MILFORD WELLNESS VILLAGE PACE","PACE Your LIFE","Milford Wellness Village PACE, LLC"
"H8634","36","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of IL, NM, OK, TX","Health Care Service Corporation"
"H8649","4","AETNA HEALTH OF UTAH INC.","Aetna Medicare","CVS Health Corporation"
"H8655","2","INNOVAGE VIRGINIA PACE II, LLC","InnovAge Virginia PACE - Richmond and Peninsula","Total Community Options, Inc."
"H8711","1","WELLCARE HEALTH INSURANCE COMPANY OF NEW JERSEY","Wellcare","Centene Corporation"
"H8764","5","ASPIRE HEALTH PLAN","Aspire Health","Montage Health"
"H8768","36","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"H8769","2","Center for Gerontology","Ascension Living PACE Michigan","Ascension Health Alliance"
"H8777","2","COMPLETE SENIOR CARE, INC.","Complete Senior Care","Health Association of Niagara County, Incorp."
"H8794","17","KAISER FOUNDATION HP, INC.","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"H8797","3","PERENNIAL ADVANTAGE OF OHIO, INC.","Perennial Advantage","Perennial Consortium, LLC"
"H8800","2","TOTAL SENIOR CARE, INC.","Total Senior Care, Inc.","Community Care of Western New York, Inc."
"H8811","2","MYPLACE SOUTH LA PACE INC.","myPlace PACE","SCAN Group"
"H8832","7","ALIGNMENT HEALTH ADVANTAGE PLAN INC","Alignment Health Plan","Alignment Healthcare USA, LLC"
"H8845","4","MOLINA HEALTHCARE OF ARIZONA, INC.","Molina Healthcare of Arizona","Molina Healthcare, Inc."
"H8849","7","WELLPOINT INSURANCE COMPANY","Wellpoint","Elevance Health, Inc."
"H8854","1","CAREFIRST ADVANTAGE DSNP, INC.","CareFirst BlueCross BlueShield Advantage DualPrime","CareFirst, Inc."
"H8879","1","Healthy Mississippi, Inc.","Healthy Mississippi, Inc.","Singh Holdings LLC"
"H8889","17","MEDICA HEALTH PLANS","Medica","Medica Holding Company"
"H8894","1","Inland Empire Health Plan","IEHP DualChoice","INLAND EMPIRE HEALTH PLAN"
"H8902","8","SCAN HEALTH PLAN TEXAS, INC.","SCAN Health Plan","SCAN Group"
"H8908","9","HUMANA MEDICAL PLAN OF MICHIGAN, INC.","Humana","Humana Inc."
"H8917","4","DEVOTED HEALTH INSURANCE COMPANY OF WASHINGTON","Devoted Health","Devoted Health, Inc."
"H8928","1","FALLON COMMUNITY HEALTH PLAN","Fallon Health","Fallon Community Health Plan, Inc."
"H8947","2","PEAK HEALTH INSURANCE CORPORATION","Peak Health","West Virginia United Health System, Inc."
"H8967","3","SANFORD HEALTH PLAN","Great Plains Medicare Advantage","Sanford Health"
"H8982","2","BROWARD PACE PROGRAM LLC","Broward PACE Program, LLC","SFH PACE Holdings LLC"
"H8992","2","PACE KC, LLC","PACE KC","Swope Health Services"
"H9001","5","FALLON COMMUNITY HEALTH PLAN","Fallon Health","Fallon Community Health Plan, Inc."
"H9003","6","KAISER FOUNDATION HP OF THE N W","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"H9042","3","SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","MyTruAdvantage","SIHO Holding, Inc."
"H9047","13","PROVIDENCE HEALTH ASSURANCE","Providence Medicare Advantage Plans","Providence St Joseph Health"
"H9052","2","REGION VII AREA AGENCY ON AGING","Sunrise PACE","Region VII Area Agency on Aging, Inc."
"H9065","4","AMH HEALTH, LLC","AMH Health","Elevance Health, Inc."
"H9066","3","VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK","Nascentia Health Plus","VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK"
"H9068","2","ALBRIGHT CARE SERVICES","ALBRIGHT CARE SERVICES","Asbury Communities, Inc."
"H9096","11","DEAN HEALTH PLAN, INC.","Dean Advantage","Medica Holding Company"
"H9147","1","BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Blue Cross and Blue Shield of North Carolina","CuraCor Solutions Corp."
"H9153","1","WEST VIRGINIA SENIOR ADVANTAGE, INC.","West Virginia Senior Advantage","SNP Holdings, LLC"
"H9179","5","TRINITY HEALTH PLAN OF MICHIGAN INC","Trinity Health Plan of Michigan","Trinity Health Corporation"
"H9185","2","A&D CHARITABLE FOUNDATION, INC.","Great Lakes PACE","A&D Charitable Foundation, Inc."
"H9191","3","PROVIDER PARTNERS HEALTH PLAN OF MISSOURI, INC.","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC"
"H9207","8","HEALTH PARTNERS PLANS, INC.","Jefferson Health Plans","Thomas Jefferson University"
"H9219","1","AMH HEALTH PLANS OF MAINE, INC.","AMH Health","Elevance Health, Inc."
"H9231","13","DEVOTED HEALTH INSURANCE COMPANY OF TENNESSEE INC","Devoted Health","Devoted Health, Inc."
"H9252","2","MOUNT SINAI ELDERCARE, INC.","Mount Sinai Eldercare","Mount Sinai Medical Center of Florida, Inc."
"H9266","2","PIEDMONT HEALTH SERVICES, INC.","Piedmont Health SeniorCare","PIEDMONT HEALTH SERVICES, INC."
"H9289","2","COMPLETE CARE PACE PROGRAM","Complete Care PACE Program","Center for Family Health and Education"
"H9306","6","ALTERWOOD ADVANTAGE, INC.","Alterwood Advantage","LifeBridge Health, Inc."
"H9314","1","AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Medicare HIDE","CVS Health Corporation"
"H9317","2","BEACON OF LIFE SC, LLC","BoldAge PACE","BoldAge PACE, LLC"
"H9323","2","BEACON OF LIFE CENTRAL NJ, LLC","BoldAge PACE","BoldAge PACE, LLC"
"H9326","4","WYOBLUE ADVANTAGE INC","WyoBlue Advantage","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"H9360","2","CHINATOWN SERVICE CENTER","www.cscpace.org","CHINATOWN SERVICE CENTER"
"H9364","4","WELLCARE OF MAINE, INC.","Wellcare","Centene Corporation"
"H9387","3","SUNFLOWER STATE HEALTH PLAN, INC.","Wellcare","Centene Corporation"
"H9411","2","1818 WESTERN, LLC","HeritAge PACE","1818 WESTERN LLC"
"H9412","1","GEISINGER QUALITY OPTIONS, INC.","Geisinger Gold","Risant Health, Inc."
"H9431","2","FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation"
"H9438","2","BLUESTEM PACE, INC.","Bluestem PACE","Bluestem Communities, Inc."
"H9460","2","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","HealthSpring","Health Care Service Corporation"
"H9468","2","ONE SENIOR CARE KENTUCKY, LLC","Mountain View PACE","One Senior Care, Inc."
"H9485","6","Mass General Brigham Health Plan, Inc.","Mass General Brigham Health Plan","Mass General Brigham Incorporated"
"H9489","8","VERMONT BLUE ADVANTAGE, INC.","Vermont Blue Advantage","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"H9525","18","COMPCARE HEALTH SERVICES INSURANCE CORPORATION","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H9564","2","PACE4DC LLC","PACE4DC LLC","Element Care INC."
"H9572","12","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Blue Cross Blue Shield of Michigan","Blue Cross Blue Shield of Michigan Mutual Ins. Co."
"H9590","1","LONGEVITY HEALTH PLAN OF ILLINOIS, INC.","Longevity Health","Longevity Health Founders, LLC"
"H9592","2","INNOVATIVE INTEGRATED HEALTH, INC.","Innovative Integrated Health Inc.","Innovative Integrated Health, Inc."
"H9615","8","MVP HEALTH PLAN, INC.","MVP HEALTH CARE","MVP Health Care, Inc."
"H9616","2","San Diego PACE, LLC","San Diego PACE","Centro de Salud de la Comunidad de San Ysidro"
"H9623","1","Ventura County Medi-Cal Managed Care Commission","Gold Coast Health Plan","Ventura County Medi-Cal Managed Care Commission"
"H9630","6","ARKANSAS HEALTH & WELLNESS HEALTH PLAN, INC.","Wellcare","Centene Corporation"
"H9649","2","HOPEWEST","HopeWest PACE","Hopewest"
"H9678","1","HEALTHFIRST INSURANCE COMPANY, INC.","Healthfirst Medicare Plan","Healthfirst, Inc."
"H9686","10","ALIGNMENT HEALTH PLAN OF NEVADA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC"
"H9690","1","AMERICAN HEALTH PLAN OF INDIANA INC","American Health Advantage of Indiana","Mitchell Family Office"
"H9699","1","USABLE HMO, INC.","Arkansas Blue Medicare","USAble Mutual Insurance Company"
"H9700","9","DEVOTED HEALTH PLAN OF NORTH CAROLINA INC","Devoted Health","Devoted Health, Inc."
"H9706","9","HCSC INSURANCE SERVICES COMPANY","Blue Cross and Blue Shield of Texas","Health Care Service Corporation"
"H9725","11","BRAVO HEALTH PENNSYLVANIA, INC.","HealthSpring","Health Care Service Corporation"
"H9730","6","WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC","Wellcare","Centene Corporation"
"H9771","1","AETNA BETTER HEALTH PREMIER PLAN MMAI INC.","Aetna Medicare FIDE","CVS Health Corporation"
"H9802","6","DEVOTED HEALTH INSURANCE COMPANY OF NEBRASKA","Devoted Health","Devoted Health, Inc."
"H9808","6","CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA","HealthTeam Advantage","Risant Health, Inc."
"H9811","1","MAGNOLIA HEALTH PLAN, INC.","Wellcare","Centene Corporation"
"H9826","2","COMMUNITY HEALTH CHOICE TEXAS, INC.","Community Health Choice","Harris County Hospital District"
"H9827","5","MOUNT CARMEL HEALTH PLAN OF NEW YORK, INC.","Trinity Health Plan New York","Trinity Health Corporation"
"H9830","2","INNOVAGE PENNSYLVANIA LIFE, LLC","InnovAge Pennsylvania LIFE","Total Community Options, Inc."
"H9834","5","QUARTZ HEALTH PLAN MN CORPORATION","Quartz Medicare Advantage (HMO)","University of Wisconsin Hospitals and Clincs Autho"
"H9842","2","SAINT JOSEPH PACE","Saint Joseph PACE","Trinity Health Corporation"
"H9884","4","DEVOTED HEALTH INSURANCE COMPANY","Devoted Health","Devoted Health, Inc."
"H9888","13","DEVOTED HEALTH INSURANCE COMPANY OF ALABAMA INC","Devoted Health","Devoted Health, Inc."
"H9904","2","CENTRAL MASS HEALTH, LLC","Mass Advantage","Central Mass Health Holding LLC"
"H9907","5","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Point32Health, Inc."
"H9909","1","AMERICAN HEALTH PLAN OF MS, INC.","American Health Advantage of MS","Mitchell Family Office"
"H9916","1","WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","Wellcare","Centene Corporation"
"H9917","2","ALIGN SENIOR CARE FLORIDA, INC.","Align Senior Care","Curana Health Holdings, LLC"
"H9942","2","LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP","Longevity Health Plan","Longevity Health Founders, LLC"
"H9955","2","MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare of Ohio","Molina Healthcare, Inc."
"H9968","1","AMERICAN HEALTH PLAN OF PENNSYLVANIA INC","American Health Advantage of Pennsylvania","Mitchell Family Office"
"H9977","7","DEVOTED HEALTH PLAN OF NEW MEXICO, INC.","Devoted Health","Devoted Health, Inc."
"H9986","3","HPMP OF FLORIDA, INC.","Florida Complete Care","Independent Living Systems, LLC"
"H9998","2","LUBBOCK REGIONAL MENTAL HEALTH MENTAL RETARDATION","Silver Star","Lubbock Regional Mental Health"
"R0110","33","HUMANA INSURANCE COMPANY","Humana","Humana Inc."
"R0759","3","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"R1532","4","HUMANA INSURANCE COMPANY","Humana","Humana Inc."
"R2604","2","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"R3175","1","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealth Group, Inc."
"R3444","3","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"R4182","5","HUMANA INSURANCE COMPANY","Humana","Humana Inc."
