"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"H2775","7","AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY","Wellcare","Centene Corporation"
"H2802","62","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H2815","2","VOANS SENIOR COMMUNITY CARE OF COLORADO, INC","Senior CommUnity Care of Colorado","Volunteers of America National Services"
"H2816","5","AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY","Wellcare","Centene Corporation"
"H2819","1","CALIFORNIA PHYSICIANS' SERVICE","Blue Shield of California","California Physicians' Service"
"H2835","2","THE CASCADE PACE, INC.","Thome PACE","United Methodist Retirement Communities, Inc."
"H2836","2","ANTHEM HEALTH PLANS, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H2845","8","DEVOTED HEALTH INSURANCE COMPANY OF OKLAHOMA","Devoted Health","Devoted Health, Inc."
"H2853","1","CENTENE VENTURE COMPANY TENNESSEE","Ascension Complete","Centene Corporation"
"H2875","6","HUMANA WI HEALTH ORGANIZATION INSURANCE CORP","Humana","Humana Inc."
"H2882","2","PACE CENTRAL MICHIGAN, INC.","PACE Central Michigan","PACE Central Michigan, Inc."
"H2915","5","PENNSYLVANIA HEALTH & WELLNESS, INC.","Wellcare","Centene Corporation"
"H2918","2","Advocates for a Healthy Community, Inc. dba Jordan","Jordan Valley Senior Care","Advocates for a Healthy Community, Inc."
"H2923","6","DEVOTED HEALTH PLAN OF OREGON INC","Devoted Health","Devoted Health, Inc."
"H2926","1","PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE","PrimeWest Health","PrimeWest Rural MN Health Care Access Initiative"
"H2936","2","LIFECIRCLES","LIFECIRCLES","LifeCircles"
"H2937","2","SENIOR LIFE GREENSBURG, INC.","Senior LIFE Greensburg","Senior LIFE Greensburg, Inc."
"H2941","2","SENTARA LIFE CARE CORPORATION, INC","Sentara PACE","Sentara Health Care (SHC)"
"H2942","3","COX HEALTH SYSTEMS HMO INC","Cox HealthPlans","CoxHealth"
"H2960","8","HOMETOWN HEALTH PLAN, INC.","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"H2962","16","ULTIMATE HEALTH PLANS, INC.","Ultimate Health Plans","Ultimate Healthcare Holdings, LLC"
"H2992","4","SENIORLIFE WASHINGTON, INC.","Senior LIFE Washington / Uniontown / Greene","SeniorLife Washington, Inc."
"H3038","2","MOLINA HEALTHCARE OF CALIFORNIA","Molina Healthcare of California","Molina Healthcare, Inc."
"H3041","2","DEVOTED HEALTH PLAN OF SOUTH CAROLINA INC","Devoted Health","Devoted Health, Inc."
"H3048","3","SECUR INC","SECUR Health Plan","Chapters CareNu Inc"
"H3060","2","VIECARE BUTLER, LLC","LIFE Butler County","Lutheran SeniorLife"
"H3080","6","DEVOTED HEALTH PLAN OF ALABAMA INC","Devoted Health","Devoted Health, Inc."
"H3084","2","INTERNATIONAL COMMUNITY HEALTH SERVICES","International Community Health Services","International Community Health Services"
"H3093","5","MOLINA HEALTHCARE OF ILLINOIS, INC.","Molina Healthcare of Illinois","Molina Healthcare, Inc."
"H3113","5","OXFORD HEALTH PLANS (NJ), INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H3124","2","PARTNERS INSURANCE COMPANY OF NEW JERSEY INC","Jefferson Health Plans","Thomas Jefferson University"
"H3127","1","UPPER PENINSULA HEALTH PLAN, LLC","Upper Peninsula Health Plan (UPHP) MI Coordinated Health","DLP Marquette Health Plan, LLC"
"H3138","3","KAISER PERMANENTE INSURANCE COMPANY","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"H3146","22","AETNA BETTER HEALTH INC. (GA)","Aetna Medicare","CVS Health Corporation"
"H3152","8","AETNA HEALTH INC. (NJ)","Aetna Medicare","CVS Health Corporation"
"H3170","1","SAPPHIRE EDGE, INC.","Blue Cross and Blue Shield of Nebraska","Blue Cross Blue Shield of Nebraska"
"H3186","2","SANFORD HEALTH PLAN OF MINNESOTA","Align powered by Sanford Health Plan","Sanford Health"
"H3192","12","AETNA HEALTH OF MICHIGAN INC.","Aetna Medicare","CVS Health Corporation"
"H3204","11","PRESBYTERIAN HEALTH PLAN","Presbyterian Health Plan","Presbyterian Healthcare Services"
