enumeration_approach,payer_id,payer_lbn,plan_id,plan_name,fhir_url,fhir_url_vendor,fhir_url_type,sandbox_fhir_url,documentation_url,swagger_url,open_api_url,well_known_url
Availity/EDI Payer ID,CHA01,,,Cascade Health Alliance,https://api.cascadecompfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,DOCSO,,,Advanced Health,https://api.advancedhealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.advancedhealthfhir.com/r4,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,DOCSO,,,Advanced Health,https://auth.advancedhealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,DOCSO,,,Advanced Health,https://api.advancedhealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
CMS Contract ID,H5852,AIDS HEALTHCARE FOUNDATION,,"AIDS Healthcare Foundation (AHF), Positive Healthcare",https://api.ahffhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.ahffhir.com/r4,http://docs.1up.health/docs,,,
CMS Contract ID,H5852,AIDS HEALTHCARE FOUNDATION,,AIDS Healthcare Foundation (AHF),https://auth.ahffhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
CMS Contract ID,H5852,AIDS HEALTHCARE FOUNDATION,,"AIDS Healthcare Foundation (AHF), Positive Healthcare",https://api.ahffhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,HPSM1,SAN MATEO HEALTH COMMISSION,,Health Plan San Mateo (HPSM),https://api.hpsmfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.hpsmfhir.com/r4,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,HPSM1,SAN MATEO HEALTH COMMISSION,,Health Plan San Mateo (HPSM),https://auth.hpsmfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,HPSM1,SAN MATEO HEALTH COMMISSION,,Health Plan San Mateo (HPSM),https://api.hpsmfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
,,,,Positive Healthcare,https://auth.ahffhir.com/oauth2/authorize/system-positive,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,,,Cox HealthPlans - MedicareAdvantage,https://auth.coxhealthplanfhir.com/oauth2/authorize/system-ma,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,,,WellFirst Health (WFH),https://auth.deanhealthfhir.com/oauth2/authorize/system-wfh,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,,,WFH provided by SSM Health Plan (WFH SSM),https://auth.deanhealthfhir.com/oauth2/authorize/system-wfh-ssm,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
,,,,PREVEA360 (P360),https://auth.deanhealthfhir.com/oauth2/authorize/system-p360,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
